
I20241208 00:52:25 2111763 dinov2 train.py:276] Starting training from iteration 182610
I20241208 00:59:02 2111763 dinov2 helpers.py:102] Training  [182820/202900]  eta: 10:29:48  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6074 (12.6109)  dino_local_crops_loss: 9.7370 (9.7452)  dino_global_crops_loss: 1.2078 (1.2091)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1624 (2.1544)  time: 1.870063  data: 1.033105  max mem: 60049
I20241208 00:59:21 2111763 dinov2 helpers.py:102] Training  [182830/202900]  eta: 10:30:11  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6483 (12.6128)  dino_local_crops_loss: 9.7453 (9.7453)  dino_global_crops_loss: 1.2098 (1.2091)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1849 (2.1561)  time: 1.925235  data: 1.086337  max mem: 60049
I20241208 00:59:40 2111763 dinov2 helpers.py:102] Training  [182840/202900]  eta: 10:28:58  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5941 (12.6105)  dino_local_crops_loss: 9.7288 (9.7442)  dino_global_crops_loss: 1.2068 (1.2089)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1508 (2.1553)  time: 1.874843  data: 1.026504  max mem: 60049
I20241208 00:59:59 2111763 dinov2 helpers.py:102] Training  [182850/202900]  eta: 10:29:15  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5941 (12.6120)  dino_local_crops_loss: 9.7260 (9.7445)  dino_global_crops_loss: 1.2050 (1.2089)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1509 (2.1564)  time: 1.873020  data: 1.040266  max mem: 60049
I20241208 01:00:17 2111763 dinov2 helpers.py:102] Training  [182860/202900]  eta: 10:28:17  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6208 (12.6119)  dino_local_crops_loss: 9.7260 (9.7434)  dino_global_crops_loss: 1.2058 (1.2087)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1818 (2.1576)  time: 1.879140  data: 1.054224  max mem: 60049
I20241208 01:00:37 2111763 dinov2 helpers.py:102] Training  [182870/202900]  eta: 10:28:38  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5956 (12.6113)  dino_local_crops_loss: 9.7025 (9.7419)  dino_global_crops_loss: 1.2030 (1.2085)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1853 (2.1587)  time: 1.883491  data: 1.063745  max mem: 60049
I20241208 01:00:56 2111763 dinov2 helpers.py:102] Training  [182880/202900]  eta: 10:28:51  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6430 (12.6138)  dino_local_crops_loss: 9.7275 (9.7418)  dino_global_crops_loss: 1.2064 (1.2085)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.2014 (2.1613)  time: 1.929605  data: 1.113914  max mem: 60049
I20241208 01:01:14 2111763 dinov2 helpers.py:102] Training  [182890/202900]  eta: 10:28:03  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6050 (12.6122)  dino_local_crops_loss: 9.7343 (9.7410)  dino_global_crops_loss: 1.2077 (1.2084)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1557 (2.1606)  time: 1.884728  data: 1.054468  max mem: 60049
I20241208 01:01:34 2111763 dinov2 helpers.py:102] Training  [182900/202900]  eta: 10:28:15  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5597 (12.6103)  dino_local_crops_loss: 9.7129 (9.7401)  dino_global_crops_loss: 1.2030 (1.2081)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1405 (2.1599)  time: 1.886113  data: 1.042525  max mem: 60049
I20241208 01:01:52 2111763 dinov2 helpers.py:102] Training  [182910/202900]  eta: 10:27:09  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6215 (12.6117)  dino_local_crops_loss: 9.7278 (9.7406)  dino_global_crops_loss: 1.2067 (1.2082)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1592 (2.1607)  time: 1.871323  data: 1.030562  max mem: 60049
